year,auc_score,pr_auc,train_size,test_size,test_positives,test_samples
2015-01-01,0.7581249484195758,0.15404115056435347,251876,25981,7.0,25972
2015-02-01,0.7783148643484906,0.17119514023764237,254021,26186,6.0,26176
2015-03-01,0.8591834414969337,0.29349898769406335,256135,26409,7.0,26400
2015-04-01,0.908663785002819,0.2565455328353236,258266,26621,8.0,26613
2015-05-01,0.9372666865760788,0.26036717400654197,260390,26807,8.0,26796
2015-06-01,0.8692036776154817,0.2057362050180887,262525,26994,10.0,26984
2015-07-01,0.8772018097178248,0.2243801148352491,264690,27182,9.0,27171
2015-08-01,0.8747677849415365,0.20373282661292447,266794,27475,10.0,27463
2015-09-01,0.8540657128477964,0.20152843750635424,268847,27841,10.0,27828
2015-10-01,0.8268032042602831,0.1835192745120745,271010,28156,11.0,28144
2015-11-01,0.8328183387180957,0.09367907765199358,273222,28415,11.0,28402
2015-12-01,0.8238995028698497,0.06872441805711094,275513,28658,15.0,28646
2016-01-01,0.8193800735447165,0.053102264830237195,277857,28856,20.0,28846
2016-02-01,0.8438110590074247,0.04522761752913683,280207,29035,24.0,29026
2016-03-01,0.7961060596578124,0.0027452671767596404,282544,29210,23.0,29201
2016-04-01,0.7639250548776629,0.07582603312425447,284887,29388,28.0,29379
2016-05-01,0.7315069883921621,0.10331832974833885,287197,29584,30.0,29579
2016-06-01,0.7275590460174639,0.10590118292923942,289519,29870,29.0,29864
2016-07-01,0.6996809048139682,0.12697470737633682,291872,30220,32.0,30215
2016-08-01,0.658606423070621,0.12705608238716662,294269,30551,32.0,30547
2016-09-01,0.6580230880230881,0.14057188839060236,296688,30841,36.0,30836
2016-10-01,0.6637261820748059,0.14856499867812478,299166,31220,41.0,31215
2016-11-01,0.7061380912103988,0.22068876115035418,301637,31612,46.0,31608
2016-12-01,0.7035317658829415,0.20334717869148664,304171,32038,50.0,32034
2017-01-01,0.6901729511231793,0.23224432803586786,306713,32461,48.0,32456
2017-02-01,0.6549925643692349,0.23657728676301099,309242,32887,47.0,32882
2017-03-01,0.6226211957175508,0.22268439426943418,311754,33307,50.0,33302
2017-04-01,0.6945485209541605,0.22722037209356802,314275,33694,49.0,33689
2017-05-01,0.6962908911250841,0.20845285835008603,316781,34092,49.0,34086
2017-06-01,0.7279282277190592,0.22495563736716942,319389,34482,55.0,34477
2017-07-01,0.7448939983817472,0.23618229253298878,322092,34819,57.0,34814
2017-08-01,0.7430341320887169,0.23991032584848876,324820,35203,60.0,35198
2017-09-01,0.742161760751196,0.23569340871260852,327529,35615,57.0,35612
2017-10-01,0.7091992131440052,0.249524470719794,330386,35932,61.0,35929
2017-11-01,0.7163958811122471,0.18888815375001947,333249,36254,60.0,36251
2017-12-01,0.7072493497725948,0.22808975629133246,336209,36518,59.0,36513
2018-01-01,0.7280133326539325,0.2047137425829607,339174,36785,62.0,36780
2018-02-01,0.7463479706275835,0.20370288927946137,342129,37062,63.0,37057
2018-03-01,0.7648647199206287,0.21816704853132315,345061,37358,60.0,37353
2018-04-01,0.7347456127563561,0.18756666219833265,347969,37676,58.0,37669
2018-05-01,0.7648533350790195,0.18892705571708915,350873,37991,58.0,37984
2018-06-01,0.7475766349528726,0.18339282765584686,353871,38236,52.0,38230
2018-07-01,0.7421569211078535,0.19219858860658123,356911,38453,49.0,38445
2018-08-01,0.7490693994032949,0.2101759460203425,360023,38605,50.0,38595
2018-09-01,0.7719975638064375,0.23251106064998545,363144,38745,54.0,38730
2018-10-01,0.8025555892460077,0.2241746717833405,366318,38866,51.0,38851
2018-11-01,0.8091977894872124,0.226273790674424,369503,38971,50.0,38955
2018-12-01,0.8647684349183917,0.20804299904305426,372727,39087,47.0,39071
2019-01-01,0.8780881237614477,0.22358982637262412,375959,39197,47.0,39182
2019-02-01,0.8543388724640636,0.21557347336685753,379191,39302,50.0,39286
2019-03-01,0.8656640039470018,0.21752146819892904,382419,39407,54.0,39390
2019-04-01,0.8533298150630388,0.28731782879761847,385645,39513,59.0,39498
2019-05-01,0.8814463579731768,0.3014261834285977,388864,39619,60.0,39603
2019-06-01,0.8715227319540033,0.2992840060798073,392107,39748,71.0,39731
2019-07-01,0.8741786050348004,0.2713939761290325,395364,39897,77.0,39881
2019-08-01,0.8831759975231389,0.2644104301590979,398628,40094,78.0,40079
2019-09-01,0.8791184741984577,0.24895733284588595,401889,40288,79.0,40278
2019-10-01,0.874166687281993,0.24451343950499577,405184,40510,75.0,40498
2019-11-01,0.8822100098612081,0.2549214585461142,408474,40730,77.0,40719
2019-12-01,0.8825266933553255,0.27041051617252476,411814,41034,78.0,41025
2020-01-01,0.9004156425361518,0.28402902095325877,415156,41377,86.0,41367
2020-02-01,0.910353019686353,0.3156119364931956,418493,41715,81.0,41706
2020-03-01,0.9137464721272679,0.2910966980596234,421826,42052,81.0,42044
2020-04-01,0.9159273072892136,0.2863925129853309,425158,42388,78.0,42379
2020-05-01,0.9118844744309942,0.2714043411051489,428483,42724,76.0,42715
2020-06-01,0.914274754144096,0.27484384366175,431855,43092,70.0,43083
2020-07-01,0.9140596146931823,0.29674601956123137,435261,43496,66.0,43471
2020-08-01,0.9068733080243345,0.29053702580332225,438722,43882,65.0,43852
2020-09-01,0.9220097745126893,0.28954503738034015,442177,44265,64.0,44235
2020-10-01,0.921477762235674,0.2710827077701753,445694,44743,66.0,44715
2020-11-01,0.9197644999322189,0.2795690426137608,449204,45224,68.0,45196
2020-12-01,0.919519180014532,0.25755829302588085,452848,45675,68.0,45647
2021-01-01,0.927698214350393,0.2459532199426737,456533,46102,60.0,46075
2021-02-01,0.9264731307443901,0.2829877251085405,460208,46542,65.0,46515
2021-03-01,0.9283529513703742,0.30188507438078843,463878,46978,64.0,46949
2021-04-01,0.9239074031026863,0.27532502966139283,467546,47413,63.0,47384
2021-05-01,0.9211078012654423,0.3039366814696467,471207,47854,73.0,47825
2021-06-01,0.9134351618903566,0.2771173313712215,474947,48266,76.0,48234
2021-07-01,0.9012844940546832,0.2655418131655426,478757,48658,76.0,48637
2021-08-01,0.9036507879802393,0.2775524452843542,482604,49091,80.0,49066
2021-09-01,0.9054136743180344,0.27321214706712976,486442,49517,81.0,49492
2021-10-01,0.8922859511606873,0.29546169309864595,490437,49861,80.0,49835
2021-11-01,0.8944686995427131,0.285444343921467,494428,50203,76.0,50177
2021-12-01,0.89839559710322,0.2931323986921899,498523,50539,79.0,50513
2022-01-01,0.8884061966653538,0.30076630875261456,502635,50881,75.0,50855
2022-02-01,0.8846370869977298,0.2776741703687974,506750,51218,71.0,51191
2022-03-01,0.8923851699391843,0.2604936649946361,510856,51556,71.0,51531
2022-04-01,0.8862922246561217,0.2586702770035147,514959,51895,68.0,51869
2022-05-01,0.8836579725135228,0.24157770683225585,519061,52225,58.0,52199
2022-06-01,0.9062588059137616,0.22496857007725282,523213,52537,55.0,52512
2022-07-01,0.912473683522289,0.19284959489577366,527415,52835,58.0,52798
2022-08-01,0.9201160262216648,0.1572326491062102,531695,53081,52.0,53044
2022-09-01,0.9257280513467286,0.1641030380905414,535959,53339,49.0,53302
2022-10-01,0.9368719335249529,0.1529542931415337,540298,53616,46.0,53579
2022-11-01,0.9380794771554489,0.14864596577810982,544631,53891,46.0,53852
2022-12-01,0.9365135295367853,0.15564928254942795,549062,54136,43.0,54097
2023-01-01,0.949219265983324,0.16517023390688593,553516,54366,41.0,54327
2023-02-01,0.9495631330853682,0.09310240345645214,557968,54597,38.0,54559
2023-03-01,0.9531839470631204,0.10264647135366829,562412,54833,34.0,54794
2023-04-01,0.9484693655466606,0.10411383680902768,566854,55068,33.0,55030
2023-05-01,0.9437394921423562,0.10833030159429896,571286,55310,31.0,55270
2023-06-01,0.9478038322167476,0.16173081828058608,575750,55533,26.0,55495
2023-07-01,0.942663625806606,0.22773286145114457,580250,55725,18.0,55704
2023-08-01,0.965808295007844,0.27138064286499075,584776,55917,15.0,55896
2023-09-01,0.9566295511625807,0.27575215383812907,589298,51395,11.0,51374
2023-10-01,0.9563220603649275,0.21000776833349868,593914,46779,10.0,46759
2023-11-01,0.9677715298044148,0.33727558254397894,598522,42171,6.0,42153
2023-12-01,1.0,1.0,603198,37495,1.0,37477
2024-01-01,1.0,1.0,607882,32811,1.0,32793
2024-02-01,1.0,1.0,612565,28128,1.0,28110
2024-03-01,1.0,1.0,617245,23448,1.0,23431
2024-04-01,1.0,1.0,621922,18771,1.0,18755
2024-05-01,1.0,1.0,626596,14097,1.0,14085
2024-06-01,,0.5,631283,9410,0.0,9399
2024-07-01,,0.5,635975,4718,0.0,4708
